post_shortcode,commenter_username,comment_text,comment_likes
DHBStlHPwDo,roysubho07,:enraged_face::enraged_face:,0
DHBStlHPwDo,animus._.11,"Until Chetan, Mallesh & Saranawa",0
DHBStlHPwDo,varun_sharma_0012_,Aum namah shivaaya,0
DHBStlHPwDo,raj2301_,Soo much educason saar :clapping_hands:,5
DHBStlHPwDo,alfa_g_singh,South india more educated saaaaaar:face_with_open_mouth:,1
DHBStlHPwDo,shekabhishek_,can't they simply be hanged!!,1
DHBStlHPwDo,shantanu._.saxena,Hain ... bhai in sukhe ladko se 3 ladke + 2 girls nipat ni paye.  Bhai yrr itne toh ho jao ki kam se kam ek aadhe ko maar k jao.,1
